entity_id,state,last_changed
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T07:03:08.048Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T07:03:27.892Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T07:03:57.592Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T07:05:06.837Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T07:11:13.380Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T07:12:02.747Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T07:54:28.333Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T07:54:38.211Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T08:31:07.184Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T08:31:36.840Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T08:32:16.519Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T08:33:25.776Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T08:54:23.677Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T08:54:43.550Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,0.0,2026-01-16T08:56:02.646Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T08:57:31.961Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:42:45.616Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T09:43:44.953Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:44:14.743Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T09:45:53.797Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:46:53.239Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T09:47:52.722Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:50:01.324Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T09:51:00.857Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:53:29.504Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,3.0,2026-01-16T09:57:56.854Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:58:16.594Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,3.0,2026-01-16T09:58:36.406Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T09:59:06.073Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,1.0,2026-01-16T10:02:24.154Z
sensor.alpstuga_air_quality_monitor_pm2_5_2,2.0,2026-01-16T10:03:03.771Z
